leaf_uid,registration_method,leaf_style,fixed_image,moving_image,MSE,NCC,MI,SSIM,IoU,Hausdorff
ESWW0070020_10,Piecewise Affine,Leaf ROI,0,4,0.023903753608465195,0.07219955325126648,1.0213797092437744,0.29362723231315613,0.9526604413986206,46.00358581542969
ESWW0070020_10,Piecewise Affine,Leaf ROI,0,5,0.03381161391735077,0.0478137731552124,1.0061331987380981,0.264997661113739,0.9528091549873352,46.00358581542969
ESWW0070020_10,Piecewise Affine,Leaf ROI,0,6,0.03755639120936394,0.021734191104769707,1.0047820806503296,0.2551184892654419,0.9529509544372559,46.00358581542969
ESWW0070020_10,Piecewise Affine,Leaf ROI,0,7,0.027419593185186386,0.0309771541506052,1.0053024291992188,0.30483415722846985,0.9517980217933655,46.00358581542969
ESWW0070020_10,Piecewise Affine,Leaf ROI,0,8,0.036381904035806656,0.05110863968729973,1.0060087442398071,0.29702168703079224,0.9519782662391663,46.00358581542969
ESWW0070020_10,Piecewise Affine,Leaf ROI,0,9,0.04823051765561104,0.05372639745473862,1.0038495063781738,0.2837867736816406,0.9499074816703796,46.00358581542969
ESWW0070020_10,Piecewise Affine,Leaf ROI,0,10,0.06846372038125992,-0.0022561983205378056,1.0028369426727295,0.21994845569133759,0.9512203931808472,46.00358581542969
ESWW0070020_10,Piecewise Affine,Leaf ROI,0,11,0.0337042361497879,-0.004717167001217604,1.0149022340774536,0.24569350481033325,0.9514603018760681,46.00358581542969
ESWW0070020_10,Piecewise Affine,Leaf ROI,0,12,0.07774430513381958,-0.007824420928955078,1.0099210739135742,0.19689132273197174,0.8569671511650085,440.3321838378906
ESWW0070020_10,Piecewise Affine,Leaf ROI,0,13,0.04791301488876343,-0.00019946633256040514,1.0094903707504272,0.27506938576698303,0.8576812148094177,440.3321838378906
ESWW0070020_10,LoFTR + TPS Individual,Leaf ROI,0,1,0.013415775261819363,0.09781148284673691,1.006089210510254,0.7189753651618958,0.9728428721427917,5.0
ESWW0070020_10,LoFTR + TPS Individual,Leaf ROI,0,2,0.009806310757994652,0.12058316916227341,1.0251110792160034,0.7304823994636536,0.9639959335327148,8.0
ESWW0070020_10,LoFTR + TPS Individual,Leaf ROI,0,3,0.008222388103604317,0.09704069048166275,1.024717092514038,0.7135092616081238,0.9344362616539001,16.0
ESWW0070020_10,LoFTR + TPS Individual,Leaf ROI,0,4,0.02104666642844677,0.09003870189189911,1.0251058340072632,0.6932936906814575,0.9382563233375549,16.0
ESWW0070020_10,LoFTR + TPS Individual,Leaf ROI,0,5,0.029916658997535706,0.053325098007917404,1.0041500329971313,0.682502806186676,0.9496779441833496,12.0
ESWW0070020_10,LoFTR + TPS Individual,Leaf ROI,0,6,0.03339660167694092,0.09285610169172287,1.0030938386917114,0.6793829202651978,0.9201977252960205,19.02629852294922
ESWW0070020_10,LoFTR + TPS Individual,Leaf ROI,0,7,0.024778129532933235,0.05270632728934288,1.0044153928756714,0.6963517069816589,0.9470008015632629,20.00425148010254
ESWW0070020_10,LoFTR + TPS Individual,Leaf ROI,0,8,0.031897734850645065,0.03196090832352638,1.0034817457199097,0.6591788530349731,0.8734399080276489,56.77573776245117
ESWW0070020_10,LoFTR + TPS Individual,Leaf ROI,0,9,0.04419192299246788,0.03458276763558388,1.0023977756500244,0.6292949914932251,0.8446294069290161,140.5133514404297
ESWW0070020_10,LoFTR + TPS Individual,Leaf ROI,0,10,0.0612378753721714,0.04300037398934364,1.0029104948043823,0.6641428470611572,0.9309018850326538,20.0
ESWW0070020_10,LoFTR + TPS Individual,Leaf ROI,0,11,0.033288609236478806,0.008117054589092731,1.0157921314239502,0.6508123874664307,0.9309412837028503,14.0
ESWW0070020_10,LoFTR + TPS Individual,Leaf ROI,0,12,0.06777287274599075,-0.00489789666607976,1.0136384963989258,0.6018465757369995,0.7359412908554077,226.64109802246094
ESWW0070020_10,LoFTR + TPS Individual,Leaf ROI,0,13,0.05649443715810776,-0.0024606501683592796,1.0063340663909912,0.6354519128799438,0.8433689475059509,102.55743408203125
ESWW0070020_10,LoFTR + TPS Semi-Sequential,Leaf ROI,0,1,0.013415775261819363,0.09781148284673691,1.006089210510254,0.7189753651618958,0.9728428721427917,5.0
ESWW0070020_10,LoFTR + TPS Semi-Sequential,Leaf ROI,0,2,0.009806310757994652,0.12058316916227341,1.0251110792160034,0.7304823994636536,0.9639959335327148,8.0
ESWW0070020_10,LoFTR + TPS Semi-Sequential,Leaf ROI,0,3,0.008222388103604317,0.09704069048166275,1.024717092514038,0.7135092616081238,0.9344362616539001,16.0
ESWW0070020_10,LoFTR + TPS Semi-Sequential,Leaf ROI,0,4,0.02104666642844677,0.09003870189189911,1.0251058340072632,0.6932936906814575,0.9382563233375549,16.0
ESWW0070020_10,LoFTR + TPS Semi-Sequential,Leaf ROI,0,5,0.029916658997535706,0.053325098007917404,1.0041500329971313,0.682502806186676,0.9496779441833496,12.0
ESWW0070020_10,LoFTR + TPS Semi-Sequential,Leaf ROI,0,6,0.03310500457882881,0.03283698484301567,1.0031107664108276,0.6667145490646362,0.9223586916923523,23.0
